Input Value Set	Model	Go	BreadCrumb	Month	2015	2016	2017	2018	2019
Test Set Name (not saved)	S-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz S-Class	September 	1.564 	1.480 	1.463 	1.106 	(TD) 
Test Set Name (not saved)	S-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz S-Class	October 	1.218 	951 	1.242 	1.125 	(TD) 
Test Set Name (not saved)	S-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz S-Class	November 	1.153 	1.044 	1.372 	960 	(TD) 
Test Set Name (not saved)	S-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz S-Class	December 	1.132 	991 	1.266 	859 	(TD) 
Test Set Name (not saved)	S-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz S-Class	1972-1980 					
Test Set Name (not saved)	S-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz S-Class	"1980-1991 W126 
1991-1998 W140/C140 
1998-2005 W220 
2005-2013 W221 
2013-present W222/C217/A217 Mercedes_Benz-S_Class-generations-auto-sales-statistics-Europe "					
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	January 	135 	112 	107 	68 	57 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	February 	102 	55 	119 	64 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	March 	371 	206 	277 	161 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	April 	177 	226 	147 	98 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	May 	225 	144 	149 	105 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	June 	199 	282 	173 	83 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	July 	181 	197 	119 	61 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	August 	94 	121 	65 	49 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	September 	228 	290 	174 	122 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	October 	84 	107 	52 	48 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	November 	90 	83 	54 	46 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	December 	114 	88 	50 	33 	(TD) 
Test Set Name (not saved)	SL	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SL 	"1954-1963 W198/W121 
1963-1971 W113 
1972-1989 R107 
1989-2001 R129 
2001-2008 R230 "					
Test Set Name (not saved)	SLC	Go		January 		14 	460 	413 	271 
Test Set Name (not saved)	SLC	Go		February 		214 	370 	273 	(TD) 
Test Set Name (not saved)	SLC	Go		March 		497 	1.605 	929 	(TD) 
Test Set Name (not saved)	SLC	Go		April 		540 	771 	732 	(TD) 
Test Set Name (not saved)	SLC	Go		May 		(TD) 	841 	525 	(TD) 
Test Set Name (not saved)	SLC	Go		June 		935 	830 	459 	(TD) 
Test Set Name (not saved)	SLC	Go		July 		714 	699 	327 	(TD) 
Test Set Name (not saved)	SLC	Go		August 		465 	405 	285 	(TD) 
Test Set Name (not saved)	SLC	Go		September 		1.256 	1.010 	561 	(TD) 
Test Set Name (not saved)	SLC	Go		October 		544 	290 	239 	(TD) 
Test Set Name (not saved)	SLC	Go		November 		535 	320 	281 	(TD) 
Test Set Name (not saved)	SLC	Go		December 		491 	278 	164 	(TD) 
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	January 	672 	639 	67 	32 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	February 	475 	192 	62 	30 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	March 	2.042 	956 	57 	54 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	April 	1.001 	112 	62 	44 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	May 	1.284 	63 	59 	52 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	June 	1.056 	75 	46 	20 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	July 	870 	53 	40 	1 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	August 	352 	15 	59 	7 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	September 	1.154 	37 	46 	6 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	October 	507 	27 	17 	2 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	November 	497 	15 	14 	(TD) 	
Test Set Name (not saved)	SLK	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLK 	December 	459 	9 	13 	(TD) 	
Test Set Name (not saved)	SLR McLaren	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLR McLaren 						
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	January 	7 	(TD) 	(TD) 	(TD) 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	February 	2 	(TD) 	(TD) 	(TD) 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	March 	8 	(TD) 	(TD) 	(TD) 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	April 	4 	2 	(TD) 	(TD) 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	May 	5 	2 	(TD) 	(TD) 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	June 	1 	3 	1 	(TD) 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	July 	3 	2 	1 	(TD) 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	August 	14 	1 	1 	3 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	September 	2 	(TD) 	(TD) 	(TD) 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	October 	8 	1 	(TD) 	(TD) 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	November 	(TD) 	(TD) 	(TD) 	(TD) 	
Test Set Name (not saved)	SLS AMG	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz SLS AMG 	December 	2 	(TD) 	(TD) 	(TD) 	
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	January 	451 	614 	456 	609 	668 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	February 	390 	514 	570 	511 	(TD) 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	March 	497 	664 	764 	833 	(TD) 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	April 	478 	612 	584 	752 	(TD) 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	May 	518 	596 	701 	522 	(TD) 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	June 	635 	725 	724 	736 	(TD) 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	July 	647 	545 	712 	661 	(TD) 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	August 	387 	620 	618 	510 	(TD) 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	September 	426 	507 	654 	472 	(TD) 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	October 	533 	479 	553 	497 	(TD) 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	November 	567 	684 	638 	591 	(TD) 
Test Set Name (not saved)	Sprinter	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Sprinter Combi 	December 	664 	757 	630 	593 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	January 	1.354 	1.965 	2.068 	1.985 	2.014 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	February 	1.161 	2.263 	2.159 	1.969 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	March 	2.038 	2.627 	3.252 	3.052 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	April 	1.861 	2.785 	2.442 	2.413 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	May 	1.958 	2.678 	2.963 	2.731 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	June 	2.546 	3.105 	3.655 	3.319 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	July 	2.700 	2.572 	2.936 	2.291 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	August 	1.196 	1.943 	1.939 	1.706 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	September 	1.337 	2.117 	2.219 	1.573 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	October 	1.804 	1.975 	2.306 	2.790 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	November 	2.221 	2.355 	2.574 	2.589 	(TD) 
Test Set Name (not saved)	V-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz V-Class 	December 	2.213 	2.555 	2.877 	2.755 	(TD) 
Test Set Name (not saved)	Vaneo	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz Vaneo 						
Test Set Name (not saved)	Vito/Viano	Go		January 	557 	789 	1.090 	1.165 	1.353 
Test Set Name (not saved)	Vito/Viano	Go		February 	573 	767 	1.124 	1.189 	(TD) 
Test Set Name (not saved)	Vito/Viano	Go		March 	1.107 	1.344 	2.625 	2.420 	(TD) 
Test Set Name (not saved)	Vito/Viano	Go		April 	1.003 	1.211 	1.706 	2.100 	(TD) 
Test Set Name (not saved)	Vito/Viano	Go		May 	1.093 	1.491 	2.109 	2.130 	(TD) 
Test Set Name (not saved)	Vito/Viano	Go		June 	1.512 	2.114 	2.673 	2.707 	(TD) 
Test Set Name (not saved)	Vito/Viano	Go		July 	1.470 	1.791 	2.027 	945 	(TD) 
Test Set Name (not saved)	Vito/Viano	Go		August 	807 	1.102 	1.458 	979 	(TD) 
Test Set Name (not saved)	Vito/Viano	Go		September 	696 	1.314 	1.371 	1.136 	(TD) 
Test Set Name (not saved)	Vito/Viano	Go		October 	774 	1.161 	1.434 	2.285 	(TD) 
Test Set Name (not saved)	Vito/Viano	Go		November 	826 	1.351 	1.986 	1.704 	(TD) 
Test Set Name (not saved)	Vito/Viano	Go		December 	1.002 	1.499 	2.198 	1.463 	(TD) 
